账号名称,所属平台,行业分类,价格,案例,粉丝参考,是否加v,是否官媒,备注
悠闲生活志,今日头条,生活,50,https://www.toutiao.com/c/user/2959526320674428/#mid=1632135026271236,76000,否,否,空
环球热点新生活,今日头条,生活,50,https://www.toutiao.com/c/user/1631287570607991/#mid=1642379098031118,53000,否,否,空
每日生活看点,今日头条,生活,68,https://www.toutiao.com/c/user/3997465646994332/#mid=1632224802378756,240000,是,否,空
每日生活话题,今日头条,生活,68,https://www.toutiao.com/c/user/3153040640846029/#mid=1632205395783694,140000,是,否,空
每日生活百科,今日头条,生活,80,https://www.toutiao.com/c/user/3491662556837342/#mid=1660308745668615,100000,是,否,空
锅碗瓢盆乐,今日头条,生活,60,https://www.toutiao.com/c/user/3284940254611524/#mid=1639101491374088,60000,否,否,空
爱说生活,今日头条,生活,60,https://www.toutiao.com/c/user/2484521634367307/#mid=1628125441866766,52000,否,否,空
生活圈轶聞,今日头条,生活,60,https://www.toutiao.com/c/user/2695627869522989/#mid=1628126047688718,51000,否,否,空
世事生活,今日头条,生活,60,https://www.toutiao.com/c/user/2150270103724731/#mid=1628126633841671,52000,否,否,空
life控,今日头条,生活,60,https://www.toutiao.com/c/user/1763242162785731/#mid=1628165277705230,52000,否,否,空
life视点,今日头条,生活,60,https://www.toutiao.com/c/user/1217884393848119/#mid=1628164889800716,53000,否,否,空
Nolife酱,今日头条,生活,60,https://www.toutiao.com/c/user/373459463978556/#mid=1628165145913356,51000,否,否,空
假日生活记,今日头条,生活,60,https://www.toutiao.com/c/user/2027125182573415/#mid=1628223975490567,110000,否,否,空
生活过的趣,今日头条,生活,60,https://www.toutiao.com/c/user/1798426762423070/#mid=1628223636787212,53000,否,否,空
趣闻生活周,今日头条,生活,60,https://www.toutiao.com/c/user/355867508870541/#mid=1628224090717196,51000,否,否,空
统计生活大数据,今日头条,生活,60,https://www.toutiao.com/c/user/2150270261275549/#mid=1628166677835784,54000,否,否,空
详情生活热点,今日头条,生活,60,https://www.toutiao.com/c/user/3399315469376647/#mid=1628166531404803,110000,否,否,空
生活开幕会,今日头条,生活,60,https://www.toutiao.com/c/user/2079901516042004/#mid=1628166421579788,100000,否,否,空
生活圈圈事,今日头条,生活,40,https://www.toutiao.com/c/user/108979511083/#mid=1620113180780547,100000,否,否,空
爱说生活,今日头条,生活,60,https://www.toutiao.com/c/user/2484521634367307/#mid=1628125441866766,52000,否,否,空
生活圈轶聞,今日头条,生活,60,https://www.toutiao.com/c/user/2695627869522989/#mid=1628126047688718,51000,否,否,空
世事生活,今日头条,生活,60,https://www.toutiao.com/c/user/2150270103724731/#mid=1628126633841671,52000,否,否,空
life控,今日头条,生活,60,https://www.toutiao.com/c/user/1763242162785731/#mid=1628165277705230,52000,否,否,空
life视点,今日头条,生活,60,https://www.toutiao.com/c/user/1217884393848119/#mid=1628164889800716,53000,否,否,空
Nolife酱,今日头条,生活,60,https://www.toutiao.com/c/user/373459463978556/#mid=1628165145913356,51000,否,否,空
假日生活记,今日头条,生活,60,https://www.toutiao.com/c/user/2027125182573415/#mid=1628223975490567,110000,否,否,空
生活过的趣,今日头条,生活,60,https://www.toutiao.com/c/user/1798426762423070/#mid=1628223636787212,53000,否,否,空
趣闻生活周,今日头条,生活,60,https://www.toutiao.com/c/user/355867508870541/#mid=1628224090717196,51000,否,否,空
详情生活热点,今日头条,生活,60,https://www.toutiao.com/c/user/3399315469376647/#mid=1628166531404803,110000,否,否,空
生活开幕会,今日头条,生活,60,https://www.toutiao.com/c/user/2079901516042004/#mid=1628166421579788,100000,否,否,空
生活乐事家,今日头条,生活,60,https://www.toutiao.com/c/user/575743574678796/#mid=1639094083800072,60000,否,否,空
生活焦点报,今日头条,生活,100,https://www.toutiao.com/c/user/77811321091/#mid=1585287299988494,100000,否,否,空
生活健康评,今日头条,生活,100,https://www.toutiao.com/c/user/1719284922320091/#mid=1651771757486088,100000,是,否,空
寰球时尚生活,今日头条,生活,50,https://www.toutiao.com/c/user/106197347370/#mid=1616440559252494,100000,否,否,空
新锐生活乐,今日头条,生活,30,https://www.toutiao.com/c/user/106167183283/,50206,否,否,空
生活行天下,今日头条,生活,30,https://www.toutiao.com/c/user/106167337624/,50167,否,否,空
生活最新潮,今日头条,生活,30,https://www.toutiao.com/c/user/106162905749/,50116,否,否,空
高端潮生活,今日头条,生活,50,https://www.toutiao.com/c/user/3082661731243198/#mid=1629603028011011,69830,否,否,空
热点生活捷讯,今日头条,生活,50,https://www.toutiao.com/c/user/4402075570013165/#mid=1629573704862728,116116,否,否,空
品玩经典生活,今日头条,生活,50,https://www.toutiao.com/c/user/1182705649460829/#mid=1629605630907399,117039,否,否,空
热点生活锦集,今日头条,生活,50,https://www.toutiao.com/c/user/3821533451263459/#mid=1629578839922701,64092,否,否,空
生活晚间知道,今日头条,生活,50,https://www.toutiao.com/c/user/3293770434492558/#mid=1630235496560652,70105,否,否,空
生活暴料焦点,今日头条,生活,50,https://www.toutiao.com/c/user/2537303910394797/#mid=1629589142049796,66151,否,否,空
生活圏要闻,今日头条,生活,50,https://www.toutiao.com/c/user/106394570013/#mid=1616727870523396,70501,否,否,空
生活资讯报道,今日头条,生活,130,https://www.toutiao.com/c/user/1446585505953628/,70000,是,否,空
最in生活,今日头条,生活,50,https://www.toutiao.com/c/user/2502135409814967/#mid=1637455765239812,220000,否,否,空
全球生活大全,今日头条,生活,50,https://www.toutiao.com/c/user/1622505253780871/#mid=1628313527846923,66000,否,否,空
生活小资show,今日头条,生活,50,https://www.toutiao.com/c/user/6643818620/,390000,否,否,空
职场达人资讯快报,今日头条,其他,60,https://www.toutiao.com/c/user/1305849147427051/#mid=1629143961878540,54000,否,否,空
职场相对说,今日头条,其他,60,https://www.toutiao.com/c/user/496606132049159/#mid=1628514536489997,54000,否,否,空
求职资讯说,今日头条,其他,60,https://www.toutiao.com/c/user/4384478109637907/#mid=1628223399846916,50000,否,否,空
职场四五事,今日头条,其他,60,https://www.toutiao.com/c/user/989186170565015/#mid=1628214923593740,85000,否,否,空
慧眼识人职场谈,今日头条,其他,60,https://www.toutiao.com/c/user/3170617279119899/#mid=1628224947639308,60000,否,否,空
职场论谈说,今日头条,其他,60,https://www.toutiao.com/c/user/4454846860636056/#mid=1628225055800323,50000,否,否,空
情感咨询导师,今日头条,其他,60,https://www.toutiao.com/c/user/2097493601163211/#mid=1628141204487179,72000,否,否,空
职场智慧大讲堂,今日头条,其他,60,https://www.toutiao.com/c/user/848449419356043/#mid=1628403639309316,51000,否,否,空
职场播报,今日头条,其他,60,https://www.toutiao.com/c/user/3979858533941613/#mid=1628403267544078,56000,否,否,空
情感屆面,今日头条,其他,60,https://www.toutiao.com/c/user/3874324574372680/#mid=1633307640409091,51000,否,否,空
热门播报,今日头条,综合,68,https://www.toutiao.com/c/user/355883166472360/#mid=1632232601226248,240000,是,否,空
每日热门快讯,今日头条,综合,68,https://www.toutiao.com/c/user/232732870321899/#mid=1630954249525259,250000,是,否,空
每日聚集,今日头条,综合,68,https://www.toutiao.com/c/user/232723991763367/#mid=1628681149982728,250000,是,否,空
生活热门话题,今日头条,综合,68,https://www.toutiao.com/c/user/285514394245560/#mid=1632225099317260,250000,是,否,空
每日热门榜,今日头条,综合,68,https://www.toutiao.com/c/user/1376216085443532/#mid=1628681295061006,250000,是,否,空
热门资讯报料,今日头条,综合,68,https://www.toutiao.com/c/user/3715978617167220/#mid=1629139157621773,140000,是,否,空
爆料舍,今日头条,综合,68,https://www.toutiao.com/c/user/1006793942894280/#mid=1632205208861699,120000,是,否,空
扒热点,今日头条,综合,68,https://www.toutiao.com/c/user/4490034047887742/#mid=1628946387847180,220000,是,否,空
最热门快报,今日头条,综合,68,https://www.toutiao.com/c/user/3188212285050104/#mid=1628947175599111,180000,是,否,空
生活最热门,今日头条,综合,80,https://www.toutiao.com/c/user/2506500135464984/#mid=1660306855618563,100000,是,否,空
最热门爆料,今日头条,综合,50,https://www.toutiao.com/c/user/2590084323883581/#mid=1630576363407374,240000,否,否,空
青年创业网,今日头条,综合,150,https://www.toutiao.com/i6698515886589870595/,85541,否,是,空
专聊房君,今日头条,综合,900,https://www.toutiao.com/i6719673408872776200/,489936,是,否,空
乐享生活老者,今日头条,综合,60,https://www.toutiao.com/c/user/69964518681/#mid=1579222601638926,120000,否,否,空
生活高姿态,今日头条,综合,60,https://www.toutiao.com/c/user/69965336480/#mid=1579223027798030,120000,否,否,空
向阳乐生活,今日头条,综合,60,https://www.toutiao.com/c/user/69963376237/#mid=1579221842170893,110000,否,否,空
每日谈说,今日头条,综合,60,https://www.toutiao.com/c/user/60188769763/#mid=1567175183134722,110000,否,否,空
芬享好生活,今日头条,综合,60,https://www.toutiao.com/c/user/101244436526/#mid=1606202874169347,51000,否,否,空
北京青年周刊,今日头条,综合,3000,https://www.toutiao.com/c/user/5872903312/#mid=5872903312,103720,是,是,空
新华融媒看民生,今日头条,综合,300,https://www.toutiao.com/a6789084369412686351/,139383,是,是,空
情感语论,今日头条,其他,60,https://www.toutiao.com/c/user/690118717087223/#mid=1628140568780813,100000,否,否,空
情之感性,今日头条,其他,60,https://www.toutiao.com/c/user/2994695088903949/#mid=1628140454444040,100000,否,否,空
情感生活读白,今日头条,其他,60,https://www.toutiao.com/c/user/2220638901376843/#mid=1628140206433288,100000,否,否,空
情感无小事,今日头条,其他,60,https://www.toutiao.com/c/user/4437254343503047/#mid=1628140073780228,100000,否,否,空
解读女性情感,今日头条,其他,60,https://www.toutiao.com/c/user/215129691788968/#mid=1628139851207694,100000,否,否,空
向阳乐生活,今日头条,综合,60,https://www.toutiao.com/c/user/69963376237/#mid=1579221842170893,110000,否,否,空
热门坊谈,今日头条,综合,30,https://www.toutiao.com/c/user/109166144433/#mid=1620521944901640,50000,否,否,空
观察前沿,今日头条,综合,100,https://www.toutiao.com/i6467459598604304909/,110000,否,否,空
观察资讯网,今日头条,综合,50,https://www.toutiao.com/i6690095569739710988/,51000,否,否,空
消费日报,今日头条,综合,240,https://www.toutiao.com/a6791758259851100683/,57363,是,是,空
商业资禄,今日头条,综合,50,https://www.toutiao.com/i6684438803412681228/,99893,否,否,空
东方今报,今日头条,综合,2500,https://www.toutiao.com/a6781584695751606797/,347602,是,是,空
最新闻热评,今日头条,综合,100,https://www.toutiao.com/c/user/3390544684262660/#mid=1652315141093383,100000,是,否,空
最强话题圈,今日头条,综合,30,https://www.toutiao.com/c/user/1622524031667212/#mid=1633120695790600,100000,否,否,空
网文知讯榜,今日头条,综合,30,https://www.toutiao.com/c/user/110181836564/#mid=1622510771373069,51000,否,否,空
资讯播爆,今日头条,综合,30,https://www.toutiao.com/c/user/109237179334/#mid=1620699928346632,50000,否,否,空
看点汇聚,今日头条,综合,30,https://www.toutiao.com/c/user/109235326460/#mid=1620699873061901,50000,否,否,空
毒家观点,今日头条,综合,30,https://www.toutiao.com/c/user/106831295884/#mid=1617547330734094,100000,否,否,空
前瞻快讯,今日头条,综合,30,https://www.toutiao.com/c/user/109239617600/#mid=1620708596389896,100000,否,否,空
互联俱乐部,今日头条,综合,50,https://www.toutiao.com/c/user/108455600473/#mid=1619271873885192,100000,否,否,空
微聚焦,今日头条,综合,100,https://www.toutiao.com/c/user/1402576676597576/#mid=1639748714380300,100000,是,否,空
全球精选视点,今日头条,综合,100,https://www.toutiao.com/c/user/241494658396651/#mid=1639764415927307,100000,是,否,空
综合热闻,今日头条,综合,30,https://www.toutiao.com/c/user/109502779269/,59825,否,否,空
新商业简讯,今日头条,综合,30,https://www.toutiao.com/c/user/109499219998/,50000,否,否,空
新资讯观察,今日头条,综合,40,https://www.toutiao.com/c/user/100372538766/,100000,否,否,空
一号商讯,今日头条,综合,40,https://www.toutiao.com/c/user/110571646985/,100000,否,否,空
米秀世界,今日头条,综合,300,https://www.toutiao.com/a6525596922424590852/,283536,是,是,空
雷锋网,今日头条,综合,6000,https://www.toutiao.com/c/user/6101038992/#mid=6101038992,175536,是,是,空
c114通信网,今日头条,综合,6500,https://www.toutiao.com/c/user/3200332504/#mid=3200303114,65334,是,是,空
资讯华尔街,今日头条,综合,50,https://www.toutiao.com/c/user/2572488268067723/#mid=1629585446532100,109957,否,否,空
参考热讯,今日头条,综合,50,https://www.toutiao.com/c/user/936414966715469/#mid=1629585858093059,137391,否,否,空
界面微观,今日头条,综合,50,https://www.toutiao.com/c/user/162358777621979/#mid=1629584943512580,100030,否,否,空
网络新解,今日头条,综合,50,https://www.toutiao.com/c/user/1939169567058211/#mid=1629584712348679,100028,否,否,空
艾瑞解析,今日头条,综合,50,https://www.toutiao.com/c/user/4050231891591956/#mid=1629584330028045,100028,否,否,空
科技圈视线,今日头条,综合,50,https://www.toutiao.com/c/user/1446588346800692/#mid=1629581630788612,100023,否,否,空
文汇之窗,今日头条,综合,50,https://www.toutiao.com/c/user/2642857105036936/#mid=1629609291505667,119859,否,否,空
华龙视界,今日头条,综合,50,https://www.toutiao.com/c/user/109012489344/#mid=1620178040956935,99579,否,否,空
首页前线,今日头条,综合,50,https://www.toutiao.com/c/user/1182705683271948/#mid=1629614495621127,124865,否,否,空
科教解读,今日头条,综合,50,https://www.toutiao.com/c/user/109326108671/#mid=1620907723370503,50028,否,否,空
北青观点,今日头条,综合,50,https://www.toutiao.com/c/user/549386990926839/#mid=1629615925967879,110351,否,否,空
环球解析,今日头条,综合,50,https://www.toutiao.com/c/user/4349299015813576/#mid=1629574570238987,105191,否,否,空
资讯新解,今日头条,综合,50,https://www.toutiao.com/c/user/3628019548423543/#mid=1629615703696397,186595,否,否,空
大事件洞察,今日头条,综合,50,https://www.toutiao.com/c/user/2977108663468941/#mid=1629615304717326,116115,否,否,空
信息推送,今日头条,综合,50,https://www.toutiao.com/c/user/496610431205966/#mid=1629615158573067,105621,否,否,空
中新解析,今日头条,综合,50,https://www.toutiao.com/c/user/989191638099869/#mid=1629614609946637,78072,否,否,空
浪首热点,今日头条,综合,50,https://www.toutiao.com/c/user/3469689868258052/#mid=1629614333954061,109504,否,否,空
澎湃品玩,今日头条,综合,50,https://www.toutiao.com/c/user/848454061135768/#mid=1629591731014669,97246,否,否,空
资讯达人分享,今日头条,综合,50,https://www.toutiao.com/c/user/106334453290/#mid=1616638484011016,99862,否,否,空
晚间焦点谈,今日头条,综合,50,https://www.toutiao.com/c/user/971601919619486/#mid=1630246443242504,100023,否,否,空
最热门精选,今日头条,综合,130,https://www.toutiao.com/c/user/3628012080988391/,100000,是,否,空
互联网热门爆料,今日头条,综合,50,https://www.toutiao.com/c/user/2924327016344280/#mid=1628312792718343,664969,否,否,空
每日热评榜,今日头条,综合,50,https://www.toutiao.com/c/user/778090634290424/#mid=1630953216500739,250000,否,否,空
全球大事件排行榜,今日头条,综合,50,https://www.toutiao.com/c/user/3821537352233916/#mid=1630577603072004,270000,否,否,空
每日热门排行榜,今日头条,综合,50,https://www.toutiao.com/c/user/135935795147207/#mid=1638293364776964,250000,否,否,空
全球话题精选,今日头条,综合,50,https://www.toutiao.com/c/user/1675284632835736/#mid=1629036276606984,120000,否,否,空
全球爆料君,今日头条,综合,50,https://www.toutiao.com/c/user/1217879337606871/,100000,否,否,空
新华融媒新消费,今日头条,综合,300,https://www.toutiao.com/i6772357836128125454/,238301,是,是,空
互联网大事记,今日头条,综合,70,https://www.toutiao.com/c/user/3145318233/#mid=1586037666459661,79000,否,否,空
